timestamp,c,h,l,o
2020-11-13T08:00:00Z,16239.336322634428,16271.241474292618,16164.825617165674,16254.50222650978
2020-11-13T09:00:00Z,16327.392711978642,16336.074857436884,16229.893811904329,16254.5353083372
2020-11-13T10:00:00Z,16224.917025647608,16330.738918878069,16202.684988209165,16318.417080029389
2020-11-13T11:00:00Z,16223.630263669706,16223.630263669706,16107.442107904653,16202.712898746016
2020-11-13T12:00:00Z,16250.034638568419,16291.676248560962,16206.286590871747,16216.41624778165
2020-11-13T13:00:00Z,16235.43462788014,16279.877695861796,16221.013344098943,16244.226064953617
2020-11-13T14:00:00Z,16176.887227033141,16261.42444890484,16156.6023646174,16238.432742957137
2020-11-13T15:00:00Z,16125.802102439673,16210.015538025182,16087.162011327553,16210.015538025182
2020-11-13T16:00:00Z,16167.85784650011,16167.85784650011,15992.152800602793,16100.201273125767
2020-11-13T17:00:00Z,16224.802065020893,16245.563942229412,16125.65692312033,16171.2284309887
2020-11-13T18:00:00Z,16243.872102384661,16259.770296827906,16228.999494390311,16255.221568892835
2020-11-13T19:00:00Z,16277.668186086126,16288.208155676697,16232.95782491704,16246.859124071005
2020-11-13T20:00:00Z,16193.686359793912,16280.858625569626,16190.021072248326,16280.858625569626
2020-11-13T21:00:00Z,16275.51559761342,16275.51559761342,16200.536894315977,16200.536894315977
2020-11-13T22:00:00Z,16301.717713012862,16339.702451809282,16271.077161290807,16271.077161290807
2020-11-13T23:00:00Z,16311.513322639245,16334.277912236306,16281.184021296804,16303.219397082074
2020-11-14T00:00:00Z,16276.32516369439,16314.263353467437,16232.167246621068,16314.263353467437
2020-11-14T01:00:00Z,16200.072168326471,16265.506536373423,16199.529753943632,16265.506536373423
2020-11-14T02:00:00Z,16159.911521612665,16213.563280708187,16159.911521612665,16187.104436745101
2020-11-14T03:00:00Z,16178.929841360257,16180.330645200107,16152.814116400668,16166.831307757446
2020-11-14T04:00:00Z,16122.692303408678,16178.19231481405,16113.744625370038,16178.19231481405
2020-11-14T05:00:00Z,16126.55421147441,16130.224133424736,16083.809275643986,16130.224133424736
2020-11-14T06:00:00Z,16169.281692865898,16188.358042864042,16149.679252900716,16158.037054702449
2020-11-14T07:00:00Z,16087.37140055748,16162.924427488771,16051.56456834274,16162.924427488771
2020-11-14T08:00:00Z,15952.795929028303,16111.432815204915,15881.625002798235,16084.766931610458
2020-11-14T09:00:00Z,15821.055157383162,15949.84109634945,15801.897140995416,15949.84109634945
2020-11-14T10:00:00Z,15829.060544811886,15895.782105429373,15776.768439259788,15776.768439259788
2020-11-14T11:00:00Z,15903.652828231443,15904.394582142353,15835.348027261918,15835.348027261918
2020-11-14T12:00:00Z,15904.162422092248,15920.38522915942,15851.873289352654,15920.38522915942
2020-11-14T13:00:00Z,15905.403152979541,15922.610083131942,15861.191851278512,15901.29067589869
2020-11-14T14:00:00Z,16004.9809230489,16030.835813592948,15921.908400890481,15921.908400890481
2020-11-14T15:00:00Z,15943.620594533564,16008.315175828007,15943.620594533564,16008.315175828007
2020-11-14T16:00:00Z,15852.388435299246,16001.478825088721,15852.388435299246,15936.72966097211
2020-11-14T17:00:00Z,15886.496010971889,15890.501595318743,15779.509705562727,15843.017117154848
2020-11-14T18:00:00Z,15901.639263859783,15922.741543648164,15879.892856079388,15897.318220687066
2020-11-14T19:00:00Z,15864.367981869897,15903.287601726066,15848.441738629941,15891.099498963902
2020-11-14T20:00:00Z,15974.990099457309,15977.50862226052,15856.506579172476,15871.942695292999
2020-11-14T21:00:00Z,15983.842785100049,16014.323971369688,15977.587093724082,15977.587093724082
2020-11-14T22:00:00Z,15997.289359685008,16016.450894993714,15971.461812175534,15980.378145510396
